episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -2524.5920939445496, 2, 3.9488599610012898, 99, 200050,                                             200050, 36.700653076171875, 1103.423095703125
2, -2279.096696615219, 2, 2.4908821510016423, 64, 200114,                                             200114, 36.09624481201172, 1107.1912841796875
3, -2581.0537486076355, 2, 4.117959135001001, 107, 200221,                                             200221, 36.5499267578125, 1108.531982421875
4, -2785.9270774126053, 2, 7.74955033399965, 207, 200428,                                             200428, 35.4216194152832, 1104.37548828125
5, -1913.2277470827103, 4, 19.61838448799972, 534, 200962,                                             200962, 35.94239807128906, 1107.023681640625
6, -2848.50535595417, 2, 8.543441817000712, 227, 201189,                                             201189, 35.67805099487305, 1109.3753662109375
7, -2471.627903342247, 2, 4.524568632001319, 118, 201307,                                             201307, 34.86478805541992, 1103.165283203125
8, -2441.5329282283783, 2, 4.545288925000932, 120, 201427,                                             201427, 36.10695266723633, 1103.272705078125
9, -2203.461781978607, 2, 1.7079649440001958, 38, 201465,                                             201465, 37.621646881103516, 1102.810302734375
10, -2219.2948734760284, 2, 1.7285101519992168, 45, 201510,                                             201510, 34.44717025756836, 1106.908203125
11, -2203.5519647598267, 2, 1.9309996760002832, 46, 201556,                                             201556, 37.385902404785156, 1102.735107421875
12, -2244.535722017288, 2, 3.144852763000017, 81, 201637,                                             201637, 35.803619384765625, 1109.2919921875
13, -2284.691287755966, 2, 2.3124471990013262, 57, 201694,                                             201694, 34.900264739990234, 1108.8941650390625
14, -2811.320793747902, 2, 8.940338354001142, 239, 201933,                                             201933, 34.60944366455078, 1104.597412109375
15, -2171.5577960014343, 2, 1.5526803739994648, 30, 201963,                                             201963, 36.345821380615234, 1100.539794921875
16, -2750.192642092705, 2, 7.3294551909984875, 196, 202159,                                             202159, 35.99928665161133, 1103.27880859375
17, -2647.4109613895416, 2, 4.349232473001393, 118, 202277,                                             202277, 34.25857162475586, 1106.7108154296875
18, -2529.7150552272797, 2, 4.725124318998496, 119, 202396,                                             202396, 36.435646057128906, 1109.0595703125
19, -2495.0171996355057, 2, 5.131386195000232, 134, 202530,                                             202530, 36.42216873168945, 1106.4368896484375
20, -2774.8691345453262, 2, 7.946068908000598, 207, 202737,                                             202737, 36.833251953125, 1107.91015625
