episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -3628.214035363868, 2, 4.566490812008851, 157, 200074,                                             200074, 0.0, 119212.7734375
2, -2361.64945346117, 2, 3.590528354005073, 124, 200198,                                             200198, 0.0, 218513.53125
3, -2097.9876307807863, 2, 4.93646185300895, 175, 200373,                                             200373, 0.0, 114068.6171875
4, -2231.701569914818, 2, 3.157581071005552, 113, 200486,                                             200486, 0.0, 131328.984375
5, -2939.088530917361, 2, 4.923657086997991, 172, 200658,                                             200658, 0.0, 117732.7109375
6, -2100.37528778892, 2, 3.5530288830050267, 128, 200786,                                             200786, 0.0, 122209.3671875
7, -2475.455226419115, 2, 7.346581938996678, 268, 201054,                                             201054, 0.0, 134829.46875
8, -2104.1764556467533, 2, 2.5476792420085985, 100, 201154,                                             201154, 0.0, 160064.4375
9, -2117.7452410012484, 2, 2.9146638810052536, 112, 201266,                                             201266, 0.0, 117326.6640625
10, -2340.5045434159692, 2, 3.319687294002506, 132, 201398,                                             201398, 0.0, 130826.2890625
11, -2097.05404671235, 3, 3.2041622169926995, 134, 201532,                                             201532, 0.0, 136147.6875
12, -2074.3312845230103, 2, 2.112721972996951, 81, 201613,                                             201613, 0.0, 112758.890625
13, -2236.498208016157, 3, 2.916277472002548, 117, 201730,                                             201730, 0.0, 126975.0625
14, -1974.0708302408457, 2, 7.536272420009482, 309, 202039,                                             202039, 0.0, 197972.9375
15, -2501.9345860173926, 3, 3.116853469997295, 125, 202164,                                             202164, 0.0, 118999.625
16, -2288.777265775425, 2, 3.5623341299942695, 141, 202305,                                             202305, 0.0, 122300.7265625
17, -2211.2298600673676, 3, 4.159879075014032, 149, 202454,                                             202454, 0.0, 114307.7578125
18, -3497.362844377756, 2, 10.386550380993867, 390, 202844,                                             202844, 0.0, 114316.5546875
19, -2613.583104447229, 3, 3.9259934470028384, 132, 202976,                                             202976, 0.0, 114106.2421875
20, -2769.4302480025217, 2, 3.757013387992629, 139, 203115,                                             203115, 0.0, 119256.765625
21, -1943.991994496435, 2, 3.9413386700034607, 137, 203252,                                             203252, 0.0, 109848.6953125
22, -3388.657627630979, 2, 4.929615166998701, 180, 203432,                                             203432, 0.0, 109017.234375
23, -2299.2119605960324, 2, 3.3284424539888278, 114, 203546,                                             203546, 0.0, 128265.3984375
24, 2682.4756046533585, 1, 2.3342141290049767, 93, 203639,                                             203639, 0.0, 125941.453125
25, -3002.65483546257, 5, 0.9069426310015842, 30, 203669,                                             203669, 0.0, 122555.796875
26, -2227.1898004559334, 2, 2.543208492003032, 103, 203772,                                             203772, 0.0, 127248.921875
27, -2099.915033418685, 3, 3.5171698369958904, 139, 203911,                                             203911, 0.0, 218199.265625
28, -2611.853278303519, 3, 2.9536787800025195, 119, 204030,                                             204030, 0.0, 116700.2109375
29, -2318.577564152889, 2, 3.1185649920080323, 117, 204147,                                             204147, 0.0, 119521.0703125
30, -3356.860396561038, 2, 7.942776459996821, 326, 204473,                                             204473, 0.0, 123004.40625
31, -2821.373318821192, 2, 2.9987968689965783, 121, 204594,                                             204594, 0.0, 229802.515625
32, -1813.9370189905167, 2, 3.1184573539940175, 126, 204720,                                             204720, 0.0, 113729.3203125
33, -2199.639448992908, 3, 3.322354988005827, 123, 204843,                                             204843, 0.0, 122869.0390625
34, -3227.1906366720796, 3, 5.336892944993451, 192, 205035,                                             205035, 0.0, 120536.1015625
35, -2147.2483554780483, 2, 3.56112640700303, 123, 205158,                                             205158, 0.0, 106491.1328125
36, -2278.186064824462, 2, 3.715443992012297, 131, 205289,                                             205289, 0.0, 123107.671875
37, -2780.49927072227, 2, 3.9281582749972586, 133, 205422,                                             205422, 0.0, 114006.5
38, -2255.4205081276596, 2, 2.957358198997099, 106, 205528,                                             205528, 0.0, 116764.734375
39, -4081.6395000615157, 2, 4.323661866990733, 153, 205681,                                             205681, 0.0, 122406.9765625
40, -1872.7789542395622, 2, 8.55261012200208, 313, 205994,                                             205994, 0.0, 154394.421875
41, -3394.822067944333, 3, 4.56702949499595, 166, 206160,                                             206160, 0.0, 120683.46875
42, -2661.783852316672, 3, 4.529560227005277, 160, 206320,                                             206320, 0.0, 116199.3515625
43, -1735.335983633995, 2, 3.1487691789952805, 130, 206450,                                             206450, 0.0, 116128.0078125
44, -2868.013683080673, 3, 2.7169680779916234, 107, 206557,                                             206557, 0.0, 113032.5546875
45, -2751.7998647310305, 2, 2.342996065999614, 99, 206656,                                             206656, 0.0, 124674.5546875
46, -2241.6815805733204, 3, 2.7090348480123794, 102, 206758,                                             206758, 0.0, 119971.6015625
47, -2264.3862467347644, 2, 2.7423315799969714, 117, 206875,                                             206875, 0.0, 120272.3984375
