episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -2344.325623989105, 3, 4.554797753000457, 94, 200015,                                             200015, 51.63199234008789, 1350.2659912109375
2, -3303.9560701847076, 4, 20.367094020000877, 491, 200506,                                             200506, 52.17403793334961, 1343.5191650390625
3, -3074.9271364212036, 2, 5.733391387000665, 141, 200647,                                             200647, 52.41900634765625, 1340.8900146484375
4, -4448.0335347652435, 2, 13.60279258600167, 344, 200991,                                             200991, 50.39114761352539, 1334.0531005859375
5, -3885.271504878998, 4, 26.24201117099983, 559, 201550,                                             201550, 51.94301223754883, 1336.0538330078125
6, -3883.706710100174, 4, 24.021515181999348, 533, 202083,                                             202083, 52.547386169433594, 1331.37158203125
7, -3516.292102575302, 4, 20.039189680999698, 478, 202561,                                             202561, 50.85313415527344, 1323.1719970703125
8, -4086.8141417503357, 4, 26.29204901400044, 551, 203112,                                             203112, 51.616493225097656, 1317.1473388671875
9, -3860.036287546158, 4, 25.071918714000276, 537, 203649,                                             203649, 51.9176025390625, 1313.26220703125
10, -3697.577560186386, 4, 20.020763462000104, 494, 204143,                                             204143, 50.27090072631836, 1303.367431640625
11, -2332.059115409851, 2, 1.9696616350011027, 37, 204180,                                             204180, 54.5318489074707, 1306.942626953125
12, -3955.14977145195, 4, 26.86120195699914, 547, 204727,                                             204727, 50.940635681152344, 1300.845947265625
13, -3844.5862703323364, 4, 23.04291748399919, 505, 205232,                                             205232, 50.739253997802734, 1296.74072265625
14, -3582.12766456604, 4, 20.63373374299954, 475, 205707,                                             205707, 50.66356658935547, 1284.4078369140625
15, -4020.0114331245422, 4, 23.643358854000326, 516, 206223,                                             206223, 52.41194534301758, 1283.8306884765625
16, -3799.237915992737, 4, 24.877455138001096, 527, 206750,                                             206750, 51.54728698730469, 1273.168212890625
17, -3643.556138753891, 4, 20.42644393000046, 501, 207251,                                             207251, 51.5072135925293, 1273.642578125
18, -3726.7318477630615, 4, 23.005050719999417, 512, 207763,                                             207763, 50.29444885253906, 1269.8326416015625
19, -5919.3236174583435, 2, 20.857566167000186, 415, 208178,                                             208178, 50.74755096435547, 1270.2935791015625
20, -3654.860517978668, 4, 20.39734931899875, 498, 208676,                                             208676, 51.86005783081055, 1262.3074951171875
21, -3784.866551399231, 4, 20.444250771000952, 496, 209172,                                             209172, 51.940826416015625, 1259.8514404296875
22, -5016.4330406188965, 2, 17.803552588000457, 395, 209567,                                             209567, 51.720664978027344, 1260.442138671875
23, -4051.4384665489197, 4, 24.265260145000866, 537, 210104,                                             210104, 52.57322311401367, 1259.7698974609375
24, -5874.8431985378265, 2, 18.813520411000354, 479, 210583,                                             210583, 52.83189010620117, 1254.2220458984375
25, -3792.4471032619476, 4, 19.382796535001034, 484, 211067,                                             211067, 52.81639862060547, 1253.4495849609375
26, -3857.711389064789, 2, 8.37680396200085, 207, 211274,                                             211274, 52.969947814941406, 1249.0596923828125
27, -3925.762195825577, 4, 24.064378757999293, 527, 211801,                                             211801, 53.99268341064453, 1256.9383544921875
28, -3886.1382472515106, 4, 23.819161581001026, 523, 212324,                                             212324, 53.80630874633789, 1249.5093994140625
29, -3686.567140340805, 4, 19.630888468000194, 486, 212810,                                             212810, 53.6904411315918, 1250.8861083984375
30, -3889.5076706409454, 4, 21.211328851999497, 503, 213313,                                             213313, 55.25066375732422, 1244.28515625
31, -4248.959402799606, 4, 26.974151084999903, 555, 213868,                                             213868, 54.742431640625, 1240.3074951171875
32, -3640.808818101883, 4, 19.173121593999895, 487, 214355,                                             214355, 54.888702392578125, 1241.98583984375
33, -3618.859198331833, 4, 19.389011577999554, 489, 214844,                                             214844, 53.402854919433594, 1238.3155517578125
34, -3983.761707544327, 4, 22.024523976999262, 518, 215362,                                             215362, 55.038082122802734, 1239.4952392578125
35, -4020.1082406044006, 4, 23.24675862100048, 528, 215890,                                             215890, 54.50312805175781, 1241.994873046875
36, -3762.6825609207153, 4, 18.78103416600061, 485, 216375,                                             216375, 54.38705825805664, 1245.56005859375
37, -3692.6041588783264, 4, 19.403546522000397, 486, 216861,                                             216861, 54.92974853515625, 1239.406982421875
38, -4229.802028179169, 4, 27.259310178000305, 558, 217419,                                             217419, 54.496925354003906, 1241.4005126953125
39, -3811.002295732498, 4, 19.614411079999627, 492, 217911,                                             217911, 54.785194396972656, 1234.9322509765625
40, -3854.1604948043823, 4, 20.23317189899899, 499, 218410,                                             218410, 56.9449577331543, 1234.7598876953125
41, -4219.599480628967, 4, 26.048820184998476, 541, 218951,                                             218951, 56.14461898803711, 1238.6063232421875
42, -4003.190577507019, 4, 23.46736644000157, 516, 219467,                                             219467, 55.49038314819336, 1242.9281005859375
43, -3934.37260556221, 4, 22.81915429199944, 515, 219982,                                             219982, 56.29892349243164, 1239.906982421875
44, -4324.234073162079, 4, 28.88977371100009, 563, 220545,                                             220545, 55.152610778808594, 1237.974853515625
45, -3864.731801509857, 4, 21.420361983000475, 497, 221042,                                             221042, 56.28243637084961, 1246.188232421875
46, -3888.325665473938, 4, 23.254598808000082, 518, 221560,                                             221560, 56.7459831237793, 1241.3466796875
47, -4382.201915502548, 4, 27.88131874099963, 564, 222124,                                             222124, 56.921714782714844, 1243.0452880859375
48, -3814.270875453949, 4, 21.025490729000012, 498, 222622,                                             222622, 55.859413146972656, 1247.9698486328125
